OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,GlobalID,SHAPE_Length,SHAPE_Area
5121,2018,CA,USF,MNF,0260012000,BRICO2D- 09THIN,7,2018/08/15 00:00:00,2018/08/15 00:00:00,8,7.9298496,,,,{65ABB742-5669-4A85-9513-B8DC5DD2C2D8},1179.76866731343,53969.7113928598
5122,2018,CA,USF,KNF,5190001000,SUPPRESSION REPAR LINE,7,2018/09/15 00:00:00,2018/09/15 00:00:00,27,27.248272,,,,{3494E45B-9982-409D-A279-5BACD9070A07},5606.96081547884,196480.139286513
5123,2018,CA,USF,SNF,HARISBRN2F,,3,2018/10/12 00:00:00,2018/10/12 00:00:00,340,339.84409,,,,{AB9BFDDA-8F96-49A7-A1E0-B4D83E68BE8C},7662.57531085174,2448080.11716038
5124,2018,CA,USF,PNF,6060079000,UNIT 18D,3,2018/04/25 00:00:00,2018/04/25 00:00:00,38.9,176.17294,,,,{04394F3F-5DB6-4484-B112-0A8A2F4ED26C},10844.797569812,1216193.5970607
5125,2018,CA,USF,PNF,1160113000,INGALLS 24,3,2018/05/29 00:00:00,2018/05/29 00:00:00,173.4,173.33037,,,,{01989910-7A28-4E9B-9F98-9D494C51F053},6725.83631740195,1194953.05910686
5126,2018,CA,USF,MNF,0420007000,PACIFIC UNIT 5,7,2018/08/15 00:00:00,2018/08/15 00:00:00,7,6.5938177,,,,{F6DBD4D7-BD54-4281-9D6C-97FD405C0B31},1087.01156554973,44589.6716342663
5127,2018,CA,USF,PNF,4120970000,BRUSH CREEK UNDERBURN,3,2018/05/15 00:00:00,2018/05/15 00:00:00,53,501.31937,,,,{10A69A7D-BB7E-4E5D-A433-28A24964F2F9},20380.982980467,3428765.86190981
5128,2018,CA,USF,SHF,7380108000,,3,2018/05/11 00:00:00,,25,27.271866,,,,{239A50CC-FEAA-4C5B-A7EF-070BCF9FF20B},1879.67891474914,175128.924953473
5129,2018,CA,USF,STF,108CRANLUB,CRANDALL UB 2901,3,2018/06/01 00:00:00,2018/06/01 00:00:00,72,72.035583,,,,{98399231-01B9-4BE3-BD2A-18615AC9458E},4093.51468808611,471297.579308823
5130,2018,CA,USF,SNF,FORK__FIRE,2017 FORK WILDFIRE BENEFIT MA 14,7,2018/02/14 00:00:00,2018/02/14 00:00:00,939.1,3232.0623,,,,{4AC071C8-40E0-4E5F-9417-2B41B7E28E0B},69448.5078708132,22877616.0906576
5131,2018,CA,USF,KNF,7270005000,LOOKOUT BUTTE UNDERBURN,3,2018/05/30 00:00:00,2018/05/30 00:00:00,99.2,99.243309,,,,{DA5937A9-59E4-423A-90DA-46898EE3C7B9},4537.28139456294,719938.755551225
5132,2018,CA,USF,TNF,100200A025,CAMP UNIT A,3,2018/05/22 00:00:00,2018/05/22 00:00:00,23.2,23.173546,,,,{9656271B-8323-47C8-8B4F-52D06C407AC0},2679.11300492552,157585.196366742
5133,2018,CA,USF,MDF,6130060000,BENCH UNDERBURN,3,2018/08/03 00:00:00,2018/08/03 00:00:00,398,407.38486,,,,{53A41FE8-D500-405E-96A6-D3FDCDE3B8CA},6905.89503731104,2946642.96060761
5134,2018,CA,USF,MNF,0420014000,TROUGH PCT,7,2018/08/15 00:00:00,2018/08/15 00:00:00,35,34.866314,,,,{48D5A336-03E4-41C3-8CB7-CFE4DEAF0CC7},3028.90694648695,235769.028044781
5135,2018,CA,USF,SNF,0250042000,THIN,3,2018/10/18 00:00:00,2018/10/18 00:00:00,153,153.63354,,,,{2095BA68-FF58-46D7-9436-E2D76249BEFA},6426.92609793994,1100963.20800845
5136,2018,CA,USF,KNF,7430137000,TENNANT WUI UNDERBURN,3,2018/04/24 00:00:00,2018/04/24 00:00:00,70,98.17952,,,,{6CB2569B-5FC7-4736-96D3-75DCE1B90197},7120.88652833035,711402.831390921
5137,2018,CA,USF,MDF,6130081000,BENCH,3,2018/08/03 00:00:00,2018/08/03 00:00:00,244,249.39191,,,,{784DB5EC-401F-48B8-B5FE-4052E54EADAE},5995.07239781293,1806927.66720509
5138,2018,CA,USF,PNF,1160114000,INGALLS 24,3,2018/05/21 00:00:00,2018/05/21 00:00:00,27.5,27.501678,,,,{3CD5C637-E4A7-456A-8386-6CFA7D7F3D17},1716.74296631051,189613.769262612
5139,2018,CA,USF,SHF,4352005000,DINKEY SOUTH ROCK CREEK SEGMENT 1,3,2018/06/01 00:00:00,2018/06/01 00:00:00,351,840.4588,,,,{09F970AD-9A9C-4010-B8DB-03A3D28B9F6A},16464.6615914324,5352184.84681348
5140,2018,CA,USF,ANF,VLLYOFMOON,VALLY OF THE MOON 37 THIN,3,2018/05/31 00:00:00,2018/05/31 00:00:00,37,36.821423,,,,{8D70C0E3-A802-4A32-9515-2865753B8346},1811.99497665791,218812.328580565
5141,2018,CA,USF,MDF,6130076000,BENCH UB,3,2018/08/03 00:00:00,2018/08/03 00:00:00,652,653.914,,,,{C837D037-A5FC-4DAB-8D10-337E601657BE},9395.68928542868,4731079.37997634
5142,2018,CA,USF,LNF,T431000010,SMOKY OPE TS UNIT 1,3,2018/05/23 00:00:00,2018/05/23 00:00:00,47,46.858841,,,,{B9403FE4-9536-413D-9B59-18D176D57342},2813.68121383524,324236.107433333
5143,2018,CA,USF,SHF,7340124000,GREYS MOUNTAIN T16,3,2018/06/07 00:00:00,2018/06/07 00:00:00,3,3.1615534,,,,{F11FDB09-195B-42A9-89C3-4BFE72DEC4B4},944.652075401203,20307.865550535
5144,2018,CA,USF,MNF,0400003000,2015 TROUGH PCT,7,2018/08/15 00:00:00,2018/08/15 00:00:00,35,35.048008,,,,{60508D42-EBE2-4CAB-B48A-4D2014E68396},3002.2382521131,237279.861628597
5145,2018,CA,USF,SNF,HARISBRN3F,,3,2018/10/25 00:00:00,2018/10/25 00:00:00,597,620.83911,,,,{AB43D06C-25E8-4B9A-894C-91B73BE5E28D},10192.9104655888,4473221.41822457
5146,2018,CA,USF,LNF,F014000191,WHALEBACK FIRE FUELS BENEFIT,7,2018/08/08 00:00:00,2018/08/08 00:00:00,1295.8,1295.7623,,,,{6C6E0330-8109-4D5D-BF98-B4CAB2C6AF9C},68728.0087476751,9117713.02804376
5147,2018,CA,USF,STF,230RXDMS18,,3,2018/06/07 00:00:00,2018/06/07 00:00:00,142.1,141.98462,,,,{5757E3F0-0BB0-4867-B3B7-7162EC5F063B},7015.56600732839,932853.62593003
5148,2018,CA,USF,SHF,7380109000,GREYS RX7,3,2018/05/14 00:00:00,,3,8.5512199,,,,{2BEECB2F-8BC7-4F8C-A125-E06D80CEB748},1012.75074869138,54910.4236302289
5149,2018,CA,USF,STF,117WFUCREE,CREEK FIRE,7,2018/01/08 00:00:00,2018/01/08 00:00:00,1749,1747.8596,,,,{6DAE813D-919F-430A-8A1C-FE453166D512},33589.2139817276,11446534.6495006
5150,2018,CA,USF,MNF,0420016000,TROUGH UNIT,7,2018/08/15 00:00:00,2018/08/15 00:00:00,4,3.6185319,,,,{41202A4C-9387-444F-90F4-5FE211A088FB},926.128783134633,24472.2904179463
5151,2018,CA,USF,MDF,6130082000,BENCH,3,2018/08/03 00:00:00,2018/08/03 00:00:00,47,49.512337,,,,{B7566AA7-B6F3-4D08-A6F1-CFC2DA964006},2651.66225601143,358627.664350897
5152,2018,CA,USF,STF,307RXEXS18,,3,2018/06/11 00:00:00,2018/06/11 00:00:00,24.5,24.523935,,,,{B46E5805-B35D-4C8E-AE07-EB290427286F},2983.54057953008,160835.213926797
5153,2018,CA,USF,MNF,0420106000,SULLIVAN UNIT 6,7,2018/08/15 00:00:00,2018/08/15 00:00:00,35,34.416569,,,,{6ABFFE38-378F-450B-A5B0-D6132D274E85},2980.78174489502,232738.869080944
5154,2018,CA,USF,LNF,T431000011,SMOKY OPE TS UNIT 2,3,2018/05/23 00:00:00,2018/05/23 00:00:00,14,13.678954,,,,{AD3B366D-24D9-40CC-BAD0-46B66791CE7E},1550.35517621601,94645.3075338666
5155,2018,CA,USF,KNF,5400117000,MCBALDY,3,2018/11/06 00:00:00,2018/11/06 00:00:00,15,15.399516,,,,{37E7E48D-6D0F-4835-851A-8C8EEF81C814},2138.07687164407,112049.26882547
5156,2018,CA,USF,MNF,0400024000,SULLIVAN UNIT 8,7,2018/08/15 00:00:00,2018/08/15 00:00:00,9,8.5725613,,,,{9F578607-28E7-44E7-9808-D15C9DD538AC},1054.82951792922,58039.6743307818
5157,2018,CA,USF,KNF,7270001000,LOOKOUT BUTTE UNDERBURN,3,2018/06/05 00:00:00,2018/06/05 00:00:00,183,183.11946,,,,{4527EBD3-418F-43F0-BAC3-1291CD798154},6931.4846023032,1328591.51025885
5158,2018,CA,USF,CNF,F025411003,HORSETHIEF FY18,3,2018/03/01 00:00:00,2018/03/01 00:00:00,32,31.173553,,,,{27E05D5B-AAC9-4AA7-86A5-AEACB0C71BB8},1981.58713650801,179046.261394835
