California, Climate Division 1, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,33.0,-6.0
195002,40.9,-0.7
195003,42.5,-1.6
195004,48.1,0.0
195005,53.6,-0.2
195006,59.2,-1.0
195007,68.0,1.3
195008,68.0,1.6
195009,62.7,0.3
195010,54.9,0.7
195011,48.4,3.5
195012,44.5,4.9
195101,38.8,-0.2
195102,41.2,-0.4
195103,42.3,-1.8
195104,50.0,1.9
195105,54.4,0.6
195106,61.7,1.5
195107,66.2,-0.5
195108,66.5,0.1
195109,64.2,1.8
195110,53.4,-0.8
195111,45.2,0.3
195112,37.8,-1.8
195201,35.6,-3.4
195202,40.2,-1.4
195203,40.3,-3.8
195204,49.3,1.2
195205,55.0,1.2
195206,57.4,-2.8
195207,69.1,2.4
195208,66.1,-0.3
195209,65.3,2.9
195210,57.8,3.6
195211,42.2,-2.7
195212,38.9,-0.7
195301,43.4,4.4
195302,42.6,1.0
195303,42.8,-1.3
195304,46.6,-1.5
195305,50.0,-3.8
195306,56.2,-4.0
195307,66.9,0.2
195308,65.3,-1.1
195309,65.9,3.5
195310,53.5,-0.7
195311,47.2,2.3
195312,41.1,1.5
195401,39.5,0.5
195402,43.6,2.0
195403,42.2,-1.9
195404,50.1,2.0
195405,56.0,2.2
195406,57.9,-2.3
195407,66.2,-0.5
195408,63.3,-3.1
195409,60.6,-1.8
195410,53.2,-1.0
195411,46.5,1.6
195412,38.5,-1.1
195501,36.1,-2.9
195502,38.8,-2.8
195503,42.6,-1.5
195504,42.9,-5.2
195505,53.3,-0.5
195506,60.2,0.0
195507,63.8,-2.9
195508,66.8,0.4
195509,61.9,-0.5
195510,54.9,0.7
195511,43.3,-1.6
195512,41.7,2.1
195601,40.6,1.6
195602,37.0,-4.6
195603,43.2,-0.9
195604,48.6,0.5
195605,54.6,0.8
195606,59.5,-0.7
195607,67.6,0.9
195608,65.1,-1.3
195609,62.5,0.1
195610,52.5,-1.7
195611,44.6,-0.3
195612,38.6,-1.0
195701,34.3,-4.7
195702,42.5,0.9
195703,44.3,0.2
195704,48.4,0.3
195705,54.4,0.6
195706,62.5,2.3
195707,65.7,-1.0
195708,64.4,-2.0
195709,64.5,2.1
195710,52.2,-2.0
195711,43.4,-1.5
195712,40.8,1.2
195801,40.8,1.8
195802,45.4,3.8
195803,41.0,-3.1
195804,47.5,-0.6
195805,57.5,3.7
195806,61.5,1.3
195807,68.8,2.1
195808,69.9,3.5
195809,64.1,1.7
195810,57.4,3.2
195811,46.6,1.7
195812,45.0,5.4
195901,41.9,2.9
195902,40.2,-1.4
195903,45.7,1.6
195904,51.4,3.3
195905,52.3,-1.5
195906,61.6,1.4
195907,69.4,2.7
195908,66.7,0.3
195909,61.6,-0.8
195910,56.6,2.4
195911,45.5,0.6
195912,38.8,-0.8
196001,38.6,-0.4
196002,41.4,-0.2
196003,46.4,2.3
196004,47.4,-0.7
196005,52.0,-1.8
196006,64.1,3.9
196007,69.2,2.5
196008,65.9,-0.5
196009,63.5,1.1
196010,54.7,0.5
196011,44.1,-0.8
196012,40.5,0.9
196101,41.5,2.5
196102,43.6,2.0
196103,42.8,-1.3
196104,48.6,0.5
196105,51.7,-2.1
196106,64.1,3.9
196107,68.0,1.3
196108,68.8,2.4
196109,60.9,-1.5
196110,54.1,-0.1
196111,43.3,-1.6
196112,39.0,-0.6
196201,37.0,-2.0
196202,40.2,-1.4
196203,41.8,-2.3
196204,51.0,2.9
196205,51.6,-2.2
196206,60.2,0.0
