California, Climate Division 5, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,37.1,-4.4
195002,45.8,1.1
195003,47.0,-1.0
195004,55.7,2.6
195005,60.9,0.9
195006,66.3,-1.3
195007,76.0,1.8
195008,73.8,0.9
195009,66.5,-1.1
195010,60.1,1.2
195011,53.1,4.2
195012,46.9,4.7
195101,41.3,-0.2
195102,44.0,-0.7
195103,47.5,-0.5
195104,54.1,1.0
195105,60.9,0.9
195106,67.7,0.1
195107,73.5,-0.7
195108,72.2,-0.7
195109,69.6,2.0
195110,57.5,-1.4
195111,49.4,0.5
195112,40.0,-2.2
195201,38.8,-2.7
195202,43.6,-1.1
195203,42.6,-5.4
195204,53.4,0.3
195205,62.4,2.4
195206,62.7,-4.9
195207,75.2,1.0
195208,73.2,0.3
195209,69.5,1.9
195210,62.8,3.9
195211,46.5,-2.4
195212,41.9,-0.3
195301,45.6,4.1
195302,44.0,-0.7
195303,47.1,-0.9
195304,52.0,-1.1
195305,54.3,-5.7
195306,62.8,-4.8
195307,76.1,1.9
195308,69.8,-3.1
195309,69.9,2.3
195310,57.6,-1.3
195311,50.0,1.1
195312,42.6,0.4
195401,41.8,0.3
195402,46.1,1.4
195403,44.9,-3.1
195404,56.9,3.8
195405,63.1,3.1
195406,65.5,-2.1
195407,75.6,1.4
195408,69.0,-3.9
195409,65.7,-1.9
195410,58.4,-0.5
195411,49.1,0.2
195412,40.5,-1.7
195501,37.0,-4.5
195502,41.4,-3.3
195503,47.2,-0.8
195504,48.3,-4.8
195505,59.1,-0.9
195506,65.8,-1.8
195507,70.6,-3.6
195508,74.8,1.9
195509,68.6,1.0
195510,60.1,1.2
195511,47.0,-1.9
195512,44.5,2.3
195601,43.5,2.0
195602,40.2,-4.5
195603,48.2,0.2
195604,52.1,-1.0
195605,60.0,0.0
195606,68.0,0.4
195607,73.3,-0.9
195608,69.9,-3.0
195609,68.7,1.1
195610,56.2,-2.7
195611,49.5,0.6
195612,42.4,0.2
195701,37.6,-3.9
195702,47.4,2.7
195703,48.6,0.6
195704,53.4,0.3
195705,57.8,-2.2
195706,70.8,3.2
195707,74.0,-0.2
195708,70.8,-2.1
195709,68.0,0.4
195710,55.9,-3.0
195711,46.8,-2.1
195712,42.5,0.3
195801,42.4,0.9
195802,47.5,2.8
195803,43.9,-4.1
195804,52.0,-1.1
195805,62.8,2.8
195806,66.0,-1.6
195807,73.1,-1.1
195808,77.0,4.1
195809,69.2,1.6
195810,63.4,4.5
195811,49.8,0.9
195812,47.4,5.2
195901,44.7,3.2
195902,42.8,-1.9
195903,51.6,3.6
195904,58.5,5.4
195905,58.2,-1.8
195906,70.3,2.7
195907,77.7,3.5
195908,72.6,-0.3
195909,65.7,-1.9
195910,61.5,2.6
195911,51.3,2.4
195912,43.9,1.7
196001,40.4,-1.1
196002,43.4,-1.3
196003,51.0,3.0
196004,53.4,0.3
196005,59.1,-0.9
196006,73.4,5.8
196007,77.0,2.8
196008,73.1,0.2
196009,69.8,2.2
196010,58.0,-0.9
196011,46.8,-2.1
196012,41.0,-1.2
196101,41.1,-0.4
196102,46.3,1.6
196103,47.0,-1.0
196104,54.6,1.5
196105,57.0,-3.0
196106,72.4,4.8
196107,77.0,2.8
196108,75.0,2.1
196109,66.1,-1.5
196110,59.1,0.2
196111,47.0,-1.9
196112,40.3,-1.9
196201,38.8,-2.7
196202,42.2,-2.5
196203,44.3,-3.7
196204,57.2,4.1
196205,56.9,-3.1
196206,68.0,0.4
