California, Climate Division 6, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,43.9,-4.8
195002,50.3,0.5
195003,51.9,0.3
195004,56.8,1.8
195005,58.0,-1.5
195006,63.5,-1.7
195007,71.5,0.4
195008,70.0,-1.5
195009,66.2,-2.1
195010,63.8,2.1
195011,58.4,3.5
195012,54.5,4.8
195101,48.1,-0.6
195102,48.4,-1.4
195103,51.8,0.2
195104,54.5,-0.5
195105,59.3,-0.2
195106,63.9,-1.3
195107,71.4,0.3
195108,70.1,-1.4
195109,69.3,1.0
195110,61.8,0.1
195111,54.4,-0.5
195112,46.8,-2.9
195201,45.1,-3.6
195202,49.1,-0.7
195203,46.8,-4.8
195204,54.5,-0.5
195205,61.8,2.3
195206,61.4,-3.8
195207,70.6,-0.5
195208,71.7,0.2
195209,70.0,1.7
195210,63.5,1.8
195211,51.7,-3.2
195212,47.8,-1.9
195301,52.9,4.2
195302,49.4,-0.4
195303,50.6,-1.0
195304,52.5,-2.5
195305,56.3,-3.2
195306,62.6,-2.6
195307,72.8,1.7
195308,69.5,-2.0
195309,68.4,0.1
195310,61.6,-0.1
195311,56.4,1.5
195312,50.4,0.7
195401,47.7,-1.0
195402,54.8,5.0
195403,49.0,-2.6
195404,56.6,1.6
195405,60.6,1.1
195406,64.0,-1.2
195407,73.7,2.6
195408,68.9,-2.6
195409,67.7,-0.6
195410,60.6,-1.1
195411,57.4,2.5
195412,49.5,-0.2
195501,44.8,-3.9
195502,47.2,-2.6
195503,52.2,0.6
195504,52.8,-2.2
195505,57.8,-1.7
195506,63.4,-1.8
195507,68.3,-2.8
195508,72.8,1.3
195509,69.6,1.3
195510,61.1,-0.6
195511,54.0,-0.9
195512,49.9,0.2
195601,49.4,0.7
195602,44.9,-4.9
195603,52.4,0.8
195604,53.0,-2.0
195605,59.6,0.1
195606,65.9,0.7
195607,69.9,-1.2
195608,68.8,-2.7
195609,71.2,2.9
195610,59.4,-2.3
195611,57.8,2.9
195612,52.2,2.5
195701,46.0,-2.7
195702,53.0,3.2
195703,52.6,1.0
195704,54.3,-0.7
195705,57.9,-1.6
195706,68.7,3.5
195707,72.5,1.4
195708,71.7,0.2
195709,68.0,-0.3
195710,59.6,-2.1
195711,52.4,-2.5
195712,52.6,2.9
195801,50.5,1.8
195802,52.1,2.3
195803,48.4,-3.2
195804,56.1,1.1
195805,62.2,2.7
195806,65.6,0.4
195807,69.9,-1.2
195808,74.0,2.5
195809,71.3,3.0
195810,66.4,4.7
195811,55.5,0.6
195812,54.9,5.2
195901,52.2,3.5
195902,47.8,-2.0
195903,56.3,4.7
195904,59.7,4.7
195905,58.9,-0.6
195906,67.7,2.5
195907,74.9,3.8
195908,72.2,0.7
195909,68.1,-0.2
195910,64.2,2.5
195911,58.6,3.7
195912,52.2,2.5
196001,45.9,-2.8
196002,48.4,-1.4
196003,54.5,2.9
196004,57.2,2.2
196005,60.9,1.4
196006,68.2,3.0
196007,73.4,2.3
196008,71.1,-0.4
196009,71.0,2.7
196010,61.1,-0.6
196011,53.1,-1.8
196012,49.6,-0.1
196101,52.8,4.1
196102,52.2,2.4
196103,51.8,0.2
196104,56.8,1.8
196105,57.7,-1.8
196106,67.4,2.2
196107,72.7,1.6
196108,73.0,1.5
196109,66.8,-1.5
196110,61.7,0.0
196111,52.9,-2.0
196112,48.8,-0.9
196201,49.4,0.7
196202,47.7,-2.1
196203,47.8,-3.8
196204,58.5,3.5
196205,57.5,-2.0
196206,64.1,-1.1
