California, Climate Division 2, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,32.7,-5.9
195002,41.7,0.0
195003,43.4,-1.7
195004,51.9,1.5
195005,58.6,1.2
195006,63.8,-1.2
195007,74.0,2.3
195008,72.2,1.8
195009,65.3,0.2
195010,56.4,0.1
195011,49.6,3.7
195012,43.7,4.2
195101,37.9,-0.7
195102,40.8,-0.9
195103,44.3,-0.8
195104,53.0,2.6
195105,58.0,0.6
195106,66.8,1.8
195107,71.2,-0.5
195108,70.5,0.1
195109,67.8,2.7
195110,54.3,-2.0
195111,45.5,-0.4
195112,37.4,-2.1
195201,34.5,-4.1
195202,39.8,-1.9
195203,40.1,-5.0
195204,51.8,1.4
195205,59.1,1.7
195206,60.7,-4.3
195207,74.3,2.6
195208,70.5,0.1
195209,68.0,2.9
195210,61.0,4.7
195211,43.6,-2.3
195212,38.5,-1.0
195301,43.5,4.9
195302,43.0,1.3
195303,44.4,-0.7
195304,49.1,-1.3
195305,51.6,-5.8
195306,60.2,-4.8
195307,72.7,1.0
195308,67.9,-2.5
195309,68.8,3.7
195310,55.5,-0.8
195311,47.2,1.3
195312,41.9,2.4
195401,39.3,0.7
195402,44.4,2.7
195403,42.4,-2.7
195404,53.7,3.3
195405,60.5,3.1
195406,62.6,-2.4
195407,72.2,0.5
195408,66.4,-4.0
195409,62.9,-2.2
195410,55.3,-1.0
195411,47.0,1.1
195412,37.2,-2.3
195501,34.4,-4.2
195502,38.4,-3.3
195503,44.1,-1.0
195504,44.5,-5.9
195505,57.6,0.2
195506,64.6,-0.4
195507,68.4,-3.3
195508,71.8,1.4
195509,65.9,0.8
195510,57.6,1.3
195511,44.2,-1.7
195512,41.1,1.6
195601,39.6,1.0
195602,36.7,-5.0
195603,45.2,0.1
195604,50.3,-0.1
195605,57.4,0.0
195606,65.1,0.1
195607,72.2,0.5
195608,68.6,-1.8
195609,65.2,0.1
195610,54.0,-2.3
195611,47.2,1.3
195612,40.5,1.0
195701,34.2,-4.4
195702,43.2,1.5
195703,45.9,0.8
195704,50.8,0.4
195705,56.2,-1.2
195706,68.2,3.2
195707,70.9,-0.8
195708,67.7,-2.7
195709,66.2,1.1
195710,52.6,-3.7
195711,44.0,-1.9
195712,40.7,1.2
195801,40.0,1.4
195802,45.0,3.3
195803,40.9,-4.2
195804,49.2,-1.2
195805,60.5,3.1
195806,64.1,-0.9
195807,72.0,0.3
195808,74.8,4.4
195809,67.0,1.9
195810,60.4,4.1
195811,47.6,1.7
195812,46.0,6.5
195901,42.2,3.6
195902,40.4,-1.3
195903,48.2,3.1
195904,55.2,4.8
195905,55.5,-1.9
195906,67.7,2.7
195907,74.8,3.1
195908,70.5,0.1
195909,63.4,-1.7
195910,59.3,3.0
195911,48.8,2.9
195912,40.0,0.5
196001,36.9,-1.7
196002,41.0,-0.7
196003,47.6,2.5
196004,49.7,-0.7
196005,55.1,-2.3
196006,70.3,5.3
196007,75.0,3.3
196008,70.8,0.4
196009,67.4,2.3
196010,56.5,0.2
196011,44.4,-1.5
196012,40.5,1.0
196101,40.8,2.2
196102,43.8,2.1
196103,43.6,-1.5
196104,51.0,0.6
196105,54.0,-3.4
196106,69.6,4.6
196107,73.6,1.9
196108,72.5,2.1
196109,63.2,-1.9
196110,56.4,0.1
196111,44.6,-1.3
196112,38.6,-0.9
196201,37.7,-0.9
196202,39.3,-2.4
196203,41.5,-3.6
196204,54.1,3.7
196205,54.7,-2.7
196206,65.5,0.5
196207,71.6,-0.1
