California, Climate Division 1, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197208,0.37,0.10
197209,1.73,0.86
197210,3.04,0.04
197211,7.04,0.38
197212,8.69,0.22
197301,11.99,2.85
197302,7.26,-0.49
197303,5.24,-0.99
197304,0.96,-2.39
197305,0.64,-1.29
197306,0.08,-0.74
197307,0.11,-0.09
197308,0.05,-0.22
197309,2.43,1.56
197310,5.67,2.67
197311,19.75,13.09
197312,10.84,2.37
197401,12.09,2.95
197402,6.63,-1.12
197403,11.79,5.56
197404,4.27,0.92
197405,0.31,-1.62
197406,0.41,-0.41
197407,0.44,0.24
197408,0.28,0.01
197409,0.00,-0.87
197410,1.92,-1.08
197411,2.78,-3.88
197412,7.73,-0.74
197501,5.93,-3.21
197502,13.18,5.43
197503,15.05,8.82
197504,3.25,-0.10
197505,0.65,-1.28
197506,0.40,-0.42
197507,0.26,0.06
197508,0.54,0.27
197509,0.13,-0.74
197510,7.36,4.36
197511,4.23,-2.43
197512,4.28,-4.19
197601,1.96,-7.18
197602,8.00,0.25
197603,2.72,-3.51
197604,3.16,-0.19
197605,0.21,-1.72
197606,0.25,-0.57
197607,0.36,0.16
197608,1.64,1.37
197609,0.66,-0.21
197610,0.54,-2.46
197611,2.12,-4.54
197612,0.75,-7.72
197701,3.02,-6.12
197702,3.38,-4.37
197703,3.92,-2.31
197704,0.68,-2.67
197705,2.86,0.93
197706,0.50,-0.32
197707,0.12,-0.08
197708,0.47,0.20
197709,3.29,2.42
197710,2.09,-0.91
197711,7.87,1.21
197712,12.00,3.53
197801,14.29,5.15
197802,8.35,0.60
197803,6.83,0.60
197804,6.23,2.88
197805,0.98,-0.95
197806,0.55,-0.27
197807,0.14,-0.06
197808,0.67,0.40
197809,2.93,2.06
197810,0.03,-2.97
197811,2.50,-4.16
197812,1.81,-6.66
197901,7.94,-1.20
197902,10.48,2.73
197903,3.86,-2.37
197904,3.48,0.13
197905,2.71,0.78
197906,0.13,-0.69
197907,0.30,0.10
197908,0.46,0.19
197909,0.76,-0.11
197910,7.84,4.84
197911,8.96,2.30
197912,6.85,-1.62
198001,8.60,-0.54
198002,10.38,2.63
198003,4.77,-1.46
198004,3.76,0.41
198005,1.19,-0.74
198006,0.86,0.04
198007,0.03,-0.17
198008,0.01,-0.26
198009,0.29,-0.58
198010,1.94,-1.06
198011,2.42,-4.24
198012,8.48,0.01
198101,8.81,-0.33
198102,5.28,-2.47
198103,5.52,-0.71
198104,1.59,-1.76
198105,1.82,-0.11
198106,0.36,-0.46
198107,0.06,-0.14
198108,0.02,-0.25
198109,1.63,0.76
198110,5.81,2.81
198111,14.52,7.86
198112,15.38,6.91
198201,7.09,-2.05
198202,7.79,0.04
198203,9.48,3.25
198204,7.29,3.94
198205,0.14,-1.79
198206,1.55,0.73
198207,0.18,-0.02
198208,0.16,-0.11
198209,1.06,0.19
198210,6.21,3.21
198211,9.82,3.16
198212,12.92,4.45
198301,10.82,1.68
198302,15.28,7.53
198303,17.09,10.86
198304,5.58,2.23
198305,1.23,-0.70
198306,0.34,-0.48
198307,0.51,0.31
198308,1.46,1.19
198309,0.92,0.05
198310,1.77,-1.23
198311,15.34,8.68
198312,16.45,7.98
198401,0.93,-8.21
198402,6.63,-1.12
198403,5.05,-1.18
198404,3.63,0.28
198405,1.64,-0.29
198406,1.01,0.19
198407,0.12,-0.08
198408,0.41,0.14
198409,0.52,-0.35
198410,4.32,1.32
198411,17.17,10.51
198412,3.16,-5.31
198501,0.83,-8.31
198502,4.66,-3.09
198503,5.90,-0.33
198504,0.48,-2.87
198505,0.73,-1.20
198506,0.57,-0.25
198507,0.27,0.07
198508,0.26,-0.01
198509,1.81,0.94
198510,3.60,0.60
198511,5.08,-1.58
198512,4.54,-3.93
198601,9.72,0.58
198602,19.40,11.65
198603,8.06,1.83
198604,1.57,-1.78
198605,2.25,0.32
198606,0.25,-0.57
198607,0.05,-0.15
198608,0.00,-0.27
198609,3.32,2.45
198610,2.17,-0.83
198611,2.20,-4.46
198612,4.24,-4.23
198701,7.81,-1.33
198702,5.56,-2.19
198703,8.38,2.15
198704,0.74,-2.61
198705,1.02,-0.91
198706,0.30,-0.52
198707,0.52,0.32
198708,0.03,-0.24
198709,0.01,-0.86
198710,0.93,-2.07
198711,4.73,-1.93
