California, Climate Division 2, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,9.31,2.68
195002,4.97,-0.88
195003,4.61,-0.22
195004,2.33,-0.26
195005,1.44,-0.17
195006,0.68,-0.06
195007,0.02,-0.12
195008,0.10,-0.08
195009,0.69,0.04
195010,6.07,4.08
195011,7.79,3.56
195012,8.00,2.27
195101,6.74,0.11
195102,4.41,-1.44
195103,1.97,-2.86
195104,1.95,-0.64
195105,2.25,0.64
195106,0.07,-0.67
195107,0.00,-0.14
195108,0.20,0.02
195109,0.08,-0.57
195110,3.64,1.65
195111,6.06,1.83
195112,11.06,5.33
195201,11.08,4.45
195202,5.36,-0.49
195203,5.83,1.00
195204,1.41,-1.18
195205,1.17,-0.44
195206,1.61,0.87
195207,0.47,0.33
195208,0.03,-0.15
195209,0.50,-0.15
195210,0.27,-1.72
195211,2.79,-1.44
195212,12.29,6.56
195301,8.28,1.65
195302,0.50,-5.35
195303,4.01,-0.82
195304,4.00,1.41
195305,3.03,1.42
195306,1.31,0.57
195307,0.03,-0.11
195308,0.46,0.28
195309,0.04,-0.61
195310,1.40,-0.59
195311,4.90,0.67
195312,1.65,-4.08
195401,8.06,1.43
195402,5.14,-0.71
195403,5.94,1.11
195404,3.54,0.95
195405,0.18,-1.43
195406,1.35,0.61
195407,0.04,-0.10
195408,0.53,0.35
195409,0.21,-0.44
195410,0.44,-1.55
195411,5.20,0.97
195412,6.66,0.93
195501,3.63,-3.00
195502,1.95,-3.90
195503,1.33,-3.50
195504,4.36,1.77
195505,0.54,-1.07
195506,0.25,-0.49
195507,0.16,0.02
195508,0.00,-0.18
195509,0.80,0.15
195510,0.72,-1.27
195511,4.52,0.29
195512,18.99,13.26
195601,11.76,5.13
195602,6.37,0.52
195603,0.54,-4.29
195604,2.10,-0.49
195605,2.74,1.13
195606,0.44,-0.30
195607,0.25,0.11
195608,0.03,-0.15
195609,0.64,-0.01
195610,4.10,2.11
195611,0.16,-4.07
195612,0.99,-4.74
195701,4.92,-1.71
195702,6.88,1.03
195703,4.65,-0.18
195704,2.69,0.10
195705,4.39,2.78
195706,0.19,-0.55
195707,0.02,-0.12
195708,0.00,-0.18
195709,2.20,1.55
195710,4.54,2.55
195711,2.50,-1.73
195712,5.85,0.12
195801,7.08,0.45
195802,13.16,7.31
195803,7.99,3.16
195804,5.05,2.46
195805,1.53,-0.08
195806,2.17,1.43
195807,0.59,0.45
195808,0.27,0.09
195809,0.49,-0.16
195810,0.61,-1.38
195811,1.27,-2.96
195812,2.26,-3.47
195901,8.50,1.87
195902,7.28,1.43
195903,1.46,-3.37
195904,0.92,-1.67
195905,1.06,-0.55
195906,0.12,-0.62
195907,0.02,-0.12
195908,0.19,0.01
195909,2.07,1.42
195910,0.12,-1.87
195911,0.01,-4.22
195912,2.17,-3.56
196001,6.66,0.03
196002,7.89,2.04
196003,5.44,0.61
196004,2.10,-0.49
196005,1.94,0.33
196006,0.05,-0.69
196007,0.15,0.01
196008,0.02,-0.16
196009,0.17,-0.48
196010,0.73,-1.26
196011,7.10,2.87
196012,3.98,-1.75
196101,3.51,-3.12
196102,4.14,-1.71
196103,4.98,0.15
196104,1.69,-0.90
196105,1.72,0.11
196106,0.60,-0.14
196107,0.06,-0.08
196108,0.41,0.23
196109,0.42,-0.23
196110,1.00,-0.99
196111,4.55,0.32
196112,4.27,-1.46
196201,2.48,-4.15
196202,11.22,5.37
196203,4.64,-0.19
196204,0.88,-1.71
196205,1.33,-0.28
196206,0.22,-0.52
196207,0.07,-0.07
196208,0.34,0.16
196209,0.35,-0.30
196210,9.63,7.64
196211,2.31,-1.92
196212,4.39,-1.34
196301,4.63,-2.00
196302,4.75,-1.10
196303,5.58,0.75
196304,7.72,5.13
196305,2.13,0.52
196306,0.76,0.02
196307,0.02,-0.12
196308,0.08,-0.10
196309,0.57,-0.08
196310,2.73,0.74
196311,7.67,3.44
196312,1.04,-4.69
196401,5.81,-0.82
196402,0.40,-5.45
196403,2.45,-2.38
196404,0.83,-1.76
196405,1.88,0.27
196406,1.54,0.80
196407,0.09,-0.05
196408,0.09,-0.09
196409,0.31,-0.34
196410,1.53,-0.46
196411,6.64,2.41
196412,15.15,9.42
196501,7.58,0.95
196502,1.16,-4.69
196503,1.88,-2.95
196504,5.64,3.05
196505,0.42,-1.19
196506,0.75,0.01
196507,0.13,-0.01
196508,1.03,0.85
196509,0.15,-0.50
196510,0.18,-1.81
196511,8.40,4.17
196512,4.24,-1.49
196601,4.65,-1.98
196602,3.30,-2.55
196603,1.90,-2.93
196604,1.52,-1.07
196605,0.44,-1.17
196606,0.17,-0.57
196607,0.11,-0.03
196608,0.12,-0.06
196609,0.26,-0.39
196610,0.03,-1.96
196611,9.67,5.44
196612,6.56,0.83
196701,11.40,4.77
196702,0.63,-5.22
196703,7.11,2.28
196704,6.28,3.69
196705,1.13,-0.48
196706,1.80,1.06
196707,0.10,-0.04
196708,0.12,-0.06
196709,0.23,-0.42
196710,1.35,-0.64
196711,3.02,-1.21
196712,4.22,-1.51
196801,7.97,1.34
196802,5.38,-0.47
196803,3.40,-1.43
196804,0.44,-2.15
196805,1.28,-0.33
196806,0.49,-0.25
196807,0.04,-0.10
196808,0.98,0.80
196809,0.08,-0.57
196810,2.36,0.37
196811,4.80,0.57
196812,8.78,3.05
196901,14.63,8.00
196902,9.37,3.52
196903,1.91,-2.92
196904,2.71,0.12
196905,0.26,-1.35
196906,1.15,0.41
196907,0.09,-0.05
196908,0.00,-0.18
196909,0.05,-0.60
196910,2.49,0.50
196911,1.93,-2.30
196912,11.54,5.81
197001,16.40,9.77
197002,2.90,-2.95
197003,3.26,-1.57
197004,1.02,-1.57
197005,0.42,-1.19
197006,1.53,0.79
197007,0.01,-0.13
197008,0.01,-0.17
197009,0.08,-0.57
197010,2.15,0.16
197011,11.01,6.78
197012,9.31,3.58
197101,3.91,-2.72
197102,0.57,-5.28
197103,6.34,1.51
197104,1.66,-0.93
197105,2.58,0.97
197106,1.21,0.47
197107,0.15,0.01
197108,0.10,-0.08
197109,0.98,0.33
197110,0.62,-1.37
197111,3.32,-0.91
197112,6.61,0.88
197201,3.00,-3.63
197202,3.85,-2.00
197203,1.74,-3.09
197204,2.86,0.27
197205,1.12,-0.49
197206,0.50,-0.24
197207,0.01,-0.13
197208,0.11,-0.07
197209,1.56,0.91
197210,3.25,1.26
197211,6.70,2.47
197212,4.63,-1.10
197301,10.87,4.24
197302,7.86,2.01
197303,3.82,-1.01
197304,0.62,-1.97
197305,0.76,-0.85
197306,0.09,-0.65
197307,0.13,-0.01
197308,0.14,-0.04
197309,1.01,0.36
197310,3.41,1.42
197311,12.98,8.75
197312,7.27,1.54
197401,7.80,1.17
197402,2.99,-2.86
197403,9.67,4.84
197404,2.66,0.07
197405,0.23,-1.38
